feature_idx,feature_name,male_imp_mean,male_imp_std,female_imp_mean,female_imp_std,abs_difference,p_raw,q_fdr,significant
101,V2_S_wid,0.000635,0.002249,0.002391,0.002871,0.001756,0.012152,0.036532,True
176,DII_T_amp,0.000873,0.002706,-0.000870,0.007546,0.001743,0.249368,0.488198,False
39,DIII_Q_wid,0.000106,0.001661,0.001848,0.003205,0.001742,0.012723,0.037628,True
222,V1_S_amp,0.000979,0.002557,0.002699,0.002935,0.001720,0.020678,0.058064,False
116,V3_N_defl,0.001931,0.001973,0.000236,0.002909,0.001696,0.012221,0.036532,True
32,DII_N_defl,-0.000503,0.001238,0.001141,0.002185,0.001644,0.000970,0.003693,True
77,AVF_S_wid,0.000291,0.000927,0.001920,0.002767,0.001629,0.004830,0.015613,True
239,V3_JJ_amp,0.000661,0.001716,0.002283,0.004878,0.001621,0.099960,0.233520,False
125,V4_S_wid,0.001217,0.001190,0.002790,0.005071,0.001573,0.113641,0.261093,False
257,V4_QRSA,0.001005,0.002484,-0.000562,0.003070,0.001567,0.037021,0.095295,False
13,J_angle,-0.001138,0.002387,0.000417,0.000861,0.001554,0.002179,0.007868,True
265,V5_P_amp,0.000106,0.000606,0.001630,0.002735,0.001525,0.006215,0.019412,True
88,V1_R_wid,0.000979,0.000670,-0.000525,0.000946,0.001504,0.000000,0.000000,True
137,V5_S_wid,-0.000688,0.002533,-0.002138,0.002227,0.001450,0.024230,0.066039,False
82,AVF_Diph_R,0.000000,0.000000,0.001449,0.000648,0.001449,0.000000,0.000000,True
76,AVF_R_wid,-0.000952,0.000879,0.000453,0.001888,0.001405,0.000771,0.003064,True
12,QRST_angle,0.000026,0.003634,0.001431,0.002812,0.001405,0.105439,0.244267,False
220,V1_Q_amp,-0.002143,0.002302,-0.000743,0.000635,0.001400,0.003363,0.011402,True
191,AVR_R_amp,0.001270,0.002395,0.000036,0.005674,0.001234,0.287362,0.543447,False
102,V2_Rp_wid,0.000344,0.000886,0.001576,0.002700,0.001232,0.025390,0.068298,False
245,V3_P_amp,-0.001667,0.000592,-0.000435,0.003232,0.001232,0.052211,0.129594,False
7,T_int,0.002116,0.002690,0.000906,0.003164,0.001211,0.122035,0.275818,False
228,V1_QRSTA,-0.000635,0.000970,0.000562,0.004394,0.001197,0.161906,0.343587,False
160,DI_Q_amp,-0.000000,0.000000,0.001159,0.001477,0.001159,0.000215,0.000994,True
124,V4_R_wid,-0.000397,0.000570,-0.001504,0.002702,0.001107,0.038597,0.098439,False
272,V6_S_amp,0.000238,0.000873,0.001250,0.004506,0.001012,0.244100,0.484713,False
207,AVL_QRSA,0.001825,0.003387,0.000815,0.002389,0.001010,0.195059,0.398724,False
11,P_angle,-0.000317,0.000930,0.000688,0.001537,0.001006,0.004102,0.013576,True
51,AVR_Q_wid,0.001614,0.000752,0.000688,0.001695,0.000925,0.010457,0.031944,True
56,AVR_N_defl,-0.002116,0.001165,-0.001214,0.001635,0.000903,0.018951,0.053760,False
87,V1_Q_wid,-0.000053,0.001586,-0.000924,0.000911,0.000871,0.013662,0.039979,True
260,V5_Q_amp,0.000979,0.001556,0.000109,0.000294,0.000870,0.005869,0.018539,True
217,AVF_QRSA,-0.000688,0.001208,0.000181,0.003179,0.000869,0.177059,0.372897,False
235,V2_P_amp,-0.000661,0.000296,0.000199,0.003478,0.000861,0.194518,0.398724,False
230,V2_Q_amp,0.000847,0.000612,0.000000,0.000000,0.000847,0.000000,0.000000,True
