variant,seed,10fold_cv,9010_multi,9010_binary,6040_multi
07d_shcut_25,13,65.0,65.2,82.6,65.7
07d_shcut_25,34,65.7,69.6,84.8,65.2
07d_shcut_25,55,66.2,65.2,73.9,67.4
07d_shcut_25,69,65.3,58.7,69.6,61.3
07d_shcut_25,76,65.2,76.1,78.3,65.1
07g_soffset_015,13,65.3,65.2,82.6,68.0
07g_soffset_015,34,65.5,69.6,80.4,63.0
07g_soffset_015,55,66.4,67.4,76.1,66.3
07g_soffset_015,69,66.4,58.7,67.4,61.3
07g_soffset_015,76,65.7,78.3,80.4,64.9
07g_soffset_03,13,65.0,65.2,82.6,65.2
07g_soffset_03,34,65.5,69.6,82.6,64.6
07g_soffset_03,55,65.9,65.2,73.9,67.4
07g_soffset_03,69,65.3,58.7,69.6,61.3
07g_soffset_03,76,65.0,76.1,78.3,65.0
07g_soffset_045,13,64.6,65.2,84.8,65.2
07g_soffset_045,34,64.8,69.6,82.6,63.5
07g_soffset_045,55,66.2,67.4,76.1,67.4
07g_soffset_045,69,65.3,58.7,71.7,58.6
07g_soffset_045,76,65.0,73.9,76.1,64.2
07j_hcap_30,13,64.8,65.2,82.6,64.6
07j_hcap_30,34,65.9,69.6,82.6,65.2
07j_hcap_30,55,65.9,65.2,73.9,67.4
07j_hcap_30,69,65.5,58.7,69.6,61.3
07j_hcap_30,76,65.2,78.3,80.4,65.2
07j_hcap_50,13,65.0,65.2,82.6,65.2
07j_hcap_50,34,65.5,69.6,82.6,64.6
07j_hcap_50,55,65.9,65.2,73.9,67.4
07j_hcap_50,69,65.3,58.7,69.6,61.3
07j_hcap_50,76,65.0,76.1,78.3,65.0
07j_hcap_70,13,65.0,65.2,82.6,65.2
07j_hcap_70,34,65.5,69.6,82.6,64.6
07j_hcap_70,55,65.9,65.2,73.9,67.4
07j_hcap_70,69,65.3,58.7,69.6,61.3
07j_hcap_70,76,65.0,76.1,78.3,65.0
08_rare_class_params,13,27.2,30.4,45.7,23.8
08_rare_class_params,34,27.2,34.8,50.0,28.7
08_rare_class_params,55,26.8,41.3,52.2,23.8
08_rare_class_params,69,28.1,21.7,47.8,33.7
08_rare_class_params,76,27.0,15.2,26.1,26.7
08a_ascale_03,13,27.2,30.4,45.7,23.8
08a_ascale_03,34,27.2,34.8,50.0,28.7
08a_ascale_03,55,26.8,41.3,52.2,23.8
08a_ascale_03,69,28.1,21.7,47.8,33.7
08a_ascale_03,76,27.0,15.2,26.1,26.7
08a_ascale_05,13,27.2,30.4,45.7,23.8
08a_ascale_05,34,27.2,34.8,50.0,28.7
08a_ascale_05,55,26.8,41.3,52.2,23.8
08a_ascale_05,69,28.1,21.7,47.8,33.7
08a_ascale_05,76,27.0,15.2,26.1,26.7
08a_ascale_07,13,27.2,30.4,45.7,23.8
08a_ascale_07,34,27.2,34.8,50.0,28.7
08a_ascale_07,55,26.8,41.3,52.2,23.8
08a_ascale_07,69,28.1,21.7,47.8,33.7
08a_ascale_07,76,27.0,15.2,26.1,26.7
08d_minsup_1,13,27.2,30.4,45.7,23.2
08d_minsup_1,34,27.2,34.8,50.0,28.7
08d_minsup_1,55,26.8,41.3,52.2,23.8
08d_minsup_1,69,28.1,21.7,47.8,33.7
08d_minsup_1,76,27.0,15.2,26.1,26.5
08d_minsup_2,13,27.2,30.4,45.7,23.8
08d_minsup_2,34,27.2,34.8,50.0,28.7
08d_minsup_2,55,26.8,41.3,52.2,23.8
08d_minsup_2,69,28.1,21.7,47.8,33.7
08d_minsup_2,76,27.0,15.2,26.1,26.7
08d_minsup_3,13,27.4,30.4,45.7,24.3
08d_minsup_3,34,27.9,34.8,50.0,29.8
08d_minsup_3,55,27.0,41.3,52.2,23.8
08d_minsup_3,69,28.3,21.7,47.8,33.7
08d_minsup_3,76,27.3,15.2,26.1,27.1
08g_confsup_3,13,27.2,30.4,45.7,23.8
08g_confsup_3,34,27.2,34.8,50.0,28.7
08g_confsup_3,55,26.8,41.3,52.2,23.8
08g_confsup_3,69,28.1,21.7,47.8,33.7
08g_confsup_3,76,27.0,15.2,26.1,26.7
08g_confsup_5,13,27.2,30.4,45.7,23.8
08g_confsup_5,34,27.2,34.8,50.0,28.7
08g_confsup_5,55,26.8,41.3,52.2,23.8
08g_confsup_5,69,28.1,21.7,47.8,33.7
08g_confsup_5,76,27.0,15.2,26.1,26.7
08g_confsup_8,13,27.2,30.4,45.7,23.8
08g_confsup_8,34,27.2,34.8,50.0,28.7
08g_confsup_8,55,26.8,41.3,52.2,23.8
08g_confsup_8,69,28.1,21.7,47.8,33.7
08g_confsup_8,76,27.0,15.2,26.1,26.7
09_remove_classes,13,25.5,45.2,59.5,22.8
09_remove_classes,34,25.0,16.7,35.7,32.9
09_remove_classes,55,25.2,31.0,40.5,23.4
09_remove_classes,69,25.2,28.6,45.2,22.2
09_remove_classes,76,25.2,23.8,35.7,25.1
10_laplace,13,26.5,30.4,45.7,24.3
10_laplace,34,27.7,34.8,50.0,30.9
10_laplace,55,26.8,41.3,52.2,22.7
10_laplace,69,27.7,21.7,45.7,33.7
10_laplace,76,26.9,15.2,26.1,26.9
10a_laplace_05,13,27.0,30.4,45.7,24.3
10a_laplace_05,34,27.9,37.0,52.2,30.4
10a_laplace_05,55,26.5,41.3,52.2,23.2
10a_laplace_05,69,28.1,21.7,45.7,33.7
10a_laplace_05,76,27.0,15.2,26.1,27.0
10b_laplace_10,13,26.5,30.4,45.7,24.3
