feature_idx,feature_name,male_max_r,male_mean_r,male_n_diseases,female_max_r,female_mean_r,female_n_diseases,abs_diff_max_r,abs_diff_mean_r,male_only,female_only,significant
97,V1_Rag_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
98,V1_Diph_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
101,V2_S_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
103,V2_Sp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
105,V2_Rag_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
106,V2_Diph_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
107,V2_Rag_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
108,V2_Diph_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
109,V2_Rag_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
110,V2_Diph_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
112,V3_R_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
113,V3_S_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
114,V3_Rp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
115,V3_Sp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
116,V3_N_defl,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
117,V3_Rag_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
118,V3_Diph_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
119,V3_Rag_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
120,V3_Diph_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
121,V3_Rag_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
122,V3_Diph_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
123,V4_Q_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
124,V4_R_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
126,V4_Rp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
127,V4_Sp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
128,V4_N_defl,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
129,V4_Rag_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
130,V4_Diph_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
131,V4_Rag_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
132,V4_Diph_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
133,V4_Rag_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
134,V4_Diph_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
135,V5_Q_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
136,V5_R_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
137,V5_S_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
138,V5_Rp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
139,V5_Sp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
140,V5_N_defl,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
141,V5_Rag_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
142,V5_Diph_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
143,V5_Rag_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
144,V5_Diph_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
145,V5_Rag_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
146,V5_Diph_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
147,V6_Q_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
148,V6_R_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
149,V6_S_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
150,V6_Rp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
151,V6_Sp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
152,V6_N_defl,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
153,V6_Rag_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
154,V6_Diph_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
155,V6_Rag_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
156,V6_Diph_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
157,V6_Rag_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
158,V6_Diph_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
159,DI_JJ_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
160,DI_Q_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
161,DI_R_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
162,DI_S_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
163,DI_Rp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
164,DI_Sp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
165,DI_P_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
262,V5_S_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
167,DI_QRSA,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
278,V6_QRSTA,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
2,Height,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
170,DII_Q_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
250,V4_Q_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
172,DII_S_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
173,DII_Rp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
174,DII_Sp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
